Puma_ID,Cam_ID,Setup_year,Setup_month,Setup_day,Setup_crew,General Location,Lat,Long,Carcass Species,Carcass Age/Sex,Pickup_year,Pickup_month,Pickup_day,Comments
4M,,2017,3,6,"BC, WB",Deer Mt,41.59060,-122.18276,Elk,Adult/Cow,2017,3,15,Kill made precapture; Cam died on 3/12/2017
3M,,2017,4,19,"WB, guest",Mt Hebron,41.70429,-122.03865,Mule Deer,Adult/Doe,2017,5,1,"Cam died 4/20/2017; 3M moved carcass away. Knew with telemetry that 3M was on ridge above carcass ~35m away, volunteer saw 3M briefly walk away while we were at carcass."
4M,,2017,4,3,"BC, WB",Long Prairie,41.66125,-121.83669,Elk,Adult/Cow,2017,5,11,"2 cameras deployed; 1 had batteries die, other SD card filled up"
4M,,2017,4,12,"BC, WB",Mt Hebron,41.70052,-122.03389,Mule Deer,Adult/Doe,2017,5,13,2 cameras deployed
1F,,2017,5,13,"BC, RL",Deer Mt,41.58961,-122.12204,Mule Deer,Adult/Doe,2017,7,9,HW & BC picked up
4M,,2017,5,11,"WB, RL",Garner Mt,41.59036,-121.83744,Mule Deer,Adult/Buck,2017,7,8,HW & BC picked up
4M,52,2017,5,17,"WB, RL",Little Horse Peak,41.54189,-121.86749,Mule Deer,Adult/Doe,2017,7,8,"Double kill found while searching cluster; placed cam on 2nd, pretty intact carcass. HW & BC picked up"
5M,54,2017,5,18,"WB, RL",Wild Horse Mt,41.67039,-121.78627,Mule Deer,Adult/Doe,2017,7,9,HW & BC picked up
1F,58,2017,8,1,"RL, JD",,41.50375,-121.99255,Mule Deer,Adult/Buck,2017,9,,RL & EL picked up and did veg
1F,56,2017,9,30,"BC, EL",Clear Creek Trailhead,41.37417,-122.12650,Mule Deer,Adult/Doe,2017,10,31,Heard noise upslope while searching for carcass. Suspect 1F. No kitten tracks obvious - but could be deceiving due to substrate and current kitten size. Carcass consumption needs to be updated for deployment.
3M,60,2017,9,2,"WB, EL",Miller Mt,41.67079,-122.24544,Mule Deer,Adult/Buck,2017,9,27,Camera moved by bear part of the way through
3M,59,2017,9,22,"WB, guest",Ball Mt,41.76894,-122.11750,Mule Deer,Adult/Doe,2017,10,20,"Saw 3M upon approach. He was walking away from us at ~50m, stopped and looked back at us, then continued walking away. The carcass was in between us when we first saw him.Scavenger sign notes need to be updated with deployment vs retrieval."
3M,53,2017,9,27,"RL, guest",Herd Peak,41.64306,-122.21386,Mule Deer,Adult/Doe,2017,10,20,Scavenger sign notes need to be updated with deployment vs retrieval.
5M,57,2017,9,5,"WB, EL",Fourmile Hill,41.64235,-121.60676,Mule Deer,Adult/Buck,2017,10,6,Saw 5M upon approach for setup. He was sitting ~10m from carcass and loped away when we were ~20m from him. Scavenger sign notes need to be updated with deployment vs retrieval.
1F,54,2017,10,7,"WB, EL",Whaleback,41.52923,-122.13148,Mule Deer,Adult/Doe,2017,11,2,No sign of 1F or kitten when approaching carcass. Lion tracks found leading away from carcass down hill to the road where 2 lions walked for a bit. Scavenger sign notes for retrieval need to be included.
1F,59,2017,10,15,"BC, WB",Trout Creek Campground,41.45062,-121.89448,Mule Deer,Fawn/Female,2017,11,16,No sign of 1F or kitten when approaching carcass. 
3M,53,2017,10,22,"RL, EL",Round valley/ cedar mtn.,41.71171,-121.94084,Mule Deer,Adult/Buck,2017,11,14,BC picked up. No sign of 3M. Carcass fully consumed; Photos from XR6 deployment? Cause of Death?
5M,57,2017,11,1,"RL, EL",Garner Mt,41.57354,-121.77453,Mule Deer,Adult/Doe,2017,11,28,WB & EL picked up; Carcass use needs to be changed for what was found during deployment... no XR6 deployment form in folder.
