"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Carcass.age.sex","Cam.id","Setup.crew","General.location","Comments"
"12M_14Jan19","2019-01-14","2019-03-27","2019-01-14 12:14:23","2019-02-03 19:51:39",72,20.3175462962963,383,"12M",41.0629,-121.53908,"Mule deer","Adult/Buck","52","JK, EW","Soldier Mountain ","Did not hear 12M on approach; a few weird things seen/heard on deployment, see prey record for details "
"12M_16Sep19","2019-09-16","2019-10-11","2019-09-16 10:05:48","2019-09-18 04:04:33",24,1.74913194444444,1253,"12M",41.21618,-121.8711,"Mule Deer","Yearling/Buck","63","JH, MC","Lone Pine Ridge (south of 89)","No sign of 12M on approach but heard strong on the reciever at the truck before and after deployment "
"12M_2Jun19","2019-06-02","2019-07-21","2019-06-02 15:10:10","2019-06-13 14:52:04",49,10.9874305555556,4528,"12M",41.27713,-121.99734,"Mule Deer","Adult/Doe","55","WB, MC","Middle Falls","No sign of 12M, but we got a VST omni signal from the truck ~350m away"
"12M_9Aug19","2019-08-09","2019-09-23","2019-08-09 15:14:52","2019-08-28 11:11:59",45,18.8313310185185,493,"12M",41.1899,-121.94373,"Mule Deer","Yearling/Buck","54","EW,KM(guest)","Red Ant Gulch","12M heard on receiver when pulling up. Have to drive road through blue gate that was unlocked, road taken to XR6 is not on avenza for angel creek crossing. Steller's Jay kill @ 41.19007,-121.94374 did not do veg for it."
"13F_14Aug19","2019-08-14","2019-09-19","2019-08-14 11:17:58","2019-09-01 02:39:28",36,17.6399305555556,663,"13F",41.24051,-121.47327,"Mule Deer","Adult/Doe","","JK, JH ","Adobe Flat Reservoir ","13F not heard on Omni before approaching cluster "
"13F_24Apr19","2019-04-24","2019-05-17","2019-04-24 14:01:14","2019-05-15 18:38:08",23,21.1922916666667,707,"13F",41.25865,-121.47909,"Mule Deer","Adult/Doe","55","JK, DG","South Bowman Spring","Heard 13F on Omni when leaving the site. Camera mounted on stake "
"13F_26Mar19","2019-03-26","2019-04-17","2019-03-26 12:59:37","2019-04-10 12:49:22",22,15.0345486111111,327,"13F",41.15544,-121.49108,"Mule Deer","Yearling/Doe","56","WB, JH","Timbered Crater","No sign of 13F or kittens."
"13F_3Feb20","2020-02-03","2020-03-01",NA,NA,27,NA,0,"13F",41.23501,-121.39331,"Mule Deer","Adult/Buck","62 or 63?","JK, Guest","Little Hot Spring","Heard 13F on reciever before and after site visit"
"14M_21Aug19","2019-08-21","2019-09-26","2019-08-21 13:05:02","2019-09-11 17:13:09",36,21.1723032407407,327,"14M",41.24644,-121.02113,"Mule Deer","Fawn/Male","55","EW, MC","Lower McCloud Falls","Kill site flagged, on backside of tree where camera was set, watch out for hornets"
"14M_24Jul19","2019-07-24","2019-08-27","2019-07-24 16:50:18","2019-08-14 20:34:34",34,21.1557407407407,212,"14M",41.12034,-121.58389,"Mule Deer","Fawn/Female","56","JK, CB","West Thousand Springs","14M not heard on Omni before deployment "
"14M_25Jul19","2019-07-25","2019-08-27","2019-07-25 10:41:16","2019-08-15 09:53:47",33,20.967025462963,175,"14M",41.12368,-121.58754,"Mule Deer","Fawn/Unknown","61","JH, CB","Dana","No sign of 14M, very close to the XR6 set the prvious day but definitely a different fawn kill, human tracks on road within 200m of cluster (maybe closer)"
"14M_5Jun19","2019-06-05","2019-08-27","2019-06-05 15:33:43","2019-06-26 23:53:40",83,21.3471875,347,"14M",41.02301,-121.4519,"Mule Deer","Yearling/Buck","58","EW, PR","Fall River Lake","No sign of 14M"
"14M_6Jan20","2020-01-06","2020-02-06",NA,NA,31,NA,0,"14M",41.01297,-121.56914,"Mule Deer","Yearling/Buck","65","EW,JK","Lake Britton","Heard 14M on reciever but no sign of him as we approached. Parasite in mouth of deer, photo online"
"14M_7Jun19","2019-06-07","2019-08-27","2019-06-07 16:59:44","2019-08-27 12:10:44",81,80.7993055555555,117,"14M",41.02781,-121.4488,"Mule Deer","Yearling/Buck","64","WB, JA","Fall River Lake","Same buck carcass EW deployed XR6 on two days prior. No sign of 14M."
"1F_12Jan18","2018-01-12","2018-02-08","2018-01-12 09:36:01","2018-01-15 20:25:29",27,3.45101851851852,747,"1F",41.66657,-122.06717,"Mule Deer","Adult/Buck","59","WB, EL","Deer Mt","No sign of 1F or kitten when deploying camera."
"1F_12Jan19","2019-01-12","2019-02-05","2019-01-12 13:10:49","2019-02-05 14:15:15",24,24.0447453703704,413,"1F",41.67768,-122.04017,"mule deer","Fawn/Female","51","JH, AC","Horsetheif butte","did not see 1F, no fresh tracks either. also I forgot to take coordinates like a goober so I'll pick it up"
"1F_12Jun18","2018-06-12","2018-08-19","2018-06-12 18:06:33","2018-08-19 12:37:33",68,67.7715277777778,575,"1F",41.46673,-121.92027,"Mule Deer","Adult/Doe","52","EW, LV","Hemlock Ridge",""
"1F_13Dec17","2017-12-13","2018-01-07","2017-12-13 09:45:58","2018-01-05 18:56:28",25,23.3822916666667,311,"1F",41.49437,-122.16843,"Mule Deer","Adult/Doe","57","RL, EL","Military Pass Road","Head missing when XR-6 was set"
"1F_13Feb18","2018-02-13","2018-03-18","2018-02-13 11:20:52","2018-03-13 11:15:59",33,27.9966087962963,133,"1F",41.64238,-121.76247,"Mule Deer","Adult/Buck","","RL, WB","Hill 22",""
"1F_13May17","2017-05-13","2017-07-09","2017-05-13 13:11:01","2017-05-17 09:34:05",57,3.84935185185185,1807,"1F",41.58961,-122.12204,"Mule Deer","Adult/Doe","","BC, RL","Deer Mt","HW & BC picked up"
