"Deployment.id","Setup.date","Pickup.date","First.behaviour.start","Last.behaviour.end","Days.deployed","Days.observed","N.observations","Puma.name","Lat","Long","Carcass.species","Cam.id","Setup.crew","General.location","Comments","Carcass.age","Carcass.sex","Pumas","Species","Species.richness","N.kittens","Uncollared.puma.present","Bear.present","Bobcat.present","Coyote.present","Puma.present","Kitten alert","Kitten bed/rest","Kitten cache","Kitten defend","Kitten groom","Kitten mark","Kitten play","Puma alert","Puma bed/rest","Puma cache","Puma defend","Puma groom","Puma mark","Puma play","Total Alert Behaviour Counts","Total Feeding Time (s) Puma","Total Feeding Time (s) Kitten","Mean Feeding Bout Duration (s) Puma","Mean Feeding Bout Duration (s) Kitten","Std Dev Feeding Bout Duration (s) Puma","Std Dev Feeding Bout Duration (s) Kitten","Total Feeding Time (m) Pumas","Total Feeding Time (m) Black Bears","Total Feeding Time (m) Scavengers"
"12M_14Jan19","2019-01-14","2019-03-27","2019-01-14 12:14:23","2019-02-03 19:51:39",72,20.3175462962963,383,"12M",41.0629,-121.53908,"Mule Deer","52","JK, EW","Soldier Mountain ","Did not hear 12M on approach; a few weird things seen/heard on deployment, see prey record for details ","Adult","Male","12M; PUMA uncollared","UNKNOWN; BIRD (other); MOUSE; JAY scrub; LAGOMORPH; FOX gray; SKUNK striped; CHIPMUNK; JAY Stellar's; PUMA",10,0,TRUE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,31,0,5,0,0,0,0,31,1905.371,0,41.4211086956522,0,37.3468517734484,0,31.7561833333333,0,8.78335
"12M_16Sep19","2019-09-16","2019-10-11","2019-09-16 10:05:48","2019-09-18 04:04:33",24,1.74913194444444,1253,"12M",41.21618,-121.8711,"Mule Deer","63","JH, MC","Lone Pine Ridge (south of 89)","No sign of 12M on approach but heard strong on the reciever at the truck before and after deployment ","Yearling","Male","12M","UNKNOWN; ROBIN American; BIRD (other); BEAR black; MOUSE; PUMA",6,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,100,0,33,0,0,0,0,100,4128.236,0,34.4019666666667,0,37.107040030803,0,68.8039333333333,21.6393666666667,0
"12M_2Jun19","2019-06-02","2019-07-21","2019-06-02 15:10:10","2019-06-13 14:52:04",49,10.9874305555556,4528,"12M",41.27713,-121.99734,"Mule Deer","55","WB, MC","Middle Falls","No sign of 12M, but we got a VST omni signal from the truck ~350m away","Adult","Female",NA,"UNKNOWN; SQUIRREL California ground; LAGOMORPH; VULTURE turkey; RAVEN common; COYOTE; BEAR black; BIRD (other); CHIPMUNK",9,0,FALSE,TRUE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,11.1971833333333,1388.31481666667
"12M_9Aug19","2019-08-09","2019-09-23","2019-08-09 15:14:52","2019-08-28 11:11:59",45,18.8313310185185,493,"12M",41.1899,-121.94373,"Mule Deer","54","EW,KM(guest)","Red Ant Gulch","12M heard on receiver when pulling up. Have to drive road through blue gate that was unlocked, road taken to XR6 is not on avenza for angel creek crossing. Steller's Jay kill @ 41.19007,-121.94374 did not do veg for it.","Yearling","Male","12M","UNKNOWN; BEAR black; SQUIRREL California ground; FISHER; SQUIRREL Douglas; LAGOMORPH; PUMA",7,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,NA,NA,0,91.8414833333333,0.26365
"13F_14Aug19","2019-08-14","2019-09-19","2019-08-14 11:17:58","2019-09-01 02:39:28",36,17.6399305555556,663,"13F",41.24051,-121.47327,"Mule Deer","","JK, JH ","Adobe Flat Reservoir ","13F not heard on Omni before approaching cluster ","Adult","Female",NA,"UNKNOWN; BEAR black; VULTURE turkey; SKUNK striped",4,0,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,114.220033333333,33.7702666666667
"13F_24Apr19","2019-04-24","2019-05-17","2019-04-24 14:01:14","2019-05-15 18:38:08",23,21.1922916666667,707,"13F",41.25865,-121.47909,"Mule Deer","55","JK, DG","South Bowman Spring","Heard 13F on Omni when leaving the site. Camera mounted on stake ","Adult","Female","KITTEN1; KITTEN2; 13F","UNKNOWN; BEAR black; VULTURE turkey; SQUIRREL Douglas; BIRD (other); PUMA",6,2,FALSE,TRUE,FALSE,FALSE,TRUE,49,31,3,11,0,0,1,26,0,4,6,0,0,0,75,2129.541,1889.737,54.6036153846154,29.0728769230769,65.6166622615642,41.5721380439726,66.9879666666667,17.0280833333333,0
"13F_26Mar19","2019-03-26","2019-04-17","2019-03-26 12:59:37","2019-04-10 12:49:22",22,15.0345486111111,327,"13F",41.15544,-121.49108,"Mule Deer","56","WB, JH","Timbered Crater","No sign of 13F or kittens.","Yearling","Female","KITTEN1; KITTEN2; KITTEN3; PUMA unidentifiable; 13F","UNKNOWN; RAVEN common; FOX gray; SQUIRREL California ground; PUMA",5,3,FALSE,FALSE,FALSE,FALSE,TRUE,24,6,0,10,3,0,0,3,1,0,6,0,0,0,27,480.185,841.935,36.9373076923077,23.3870833333333,31.6023440675546,20.1492055913946,22.0353333333333,0,3.21
"13F_3Feb20","2020-02-03","2020-03-01",NA,NA,27,NA,0,"13F",41.23501,-121.39331,"Mule Deer","62 or 63?","JK, Guest","Little Hot Spring","Heard 13F on reciever before and after site visit","Adult","Male",NA,NA,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0
"14M_21Aug19","2019-08-21","2019-09-26","2019-08-21 13:05:02","2019-09-11 17:13:09",36,21.1723032407407,327,"14M",41.24644,-121.02113,"Mule Deer","55","EW, MC","Lower McCloud Falls","Kill site flagged, on backside of tree where camera was set, watch out for hornets","Fawn","Male","14M","UNKNOWN; BEAR black; SQUIRREL Douglas; COYOTE; CHIPMUNK; SQUIRREL California ground; DEER Mule; PUMA",8,0,FALSE,TRUE,FALSE,TRUE,TRUE,0,0,0,0,0,0,0,8,14,1,0,1,0,0,8,224.48,0,24.9422222222222,0,25.1297319960728,0,3.74133333333333,51.3357166666667,0
"14M_24Jul19","2019-07-24","2019-08-27","2019-07-24 16:50:18","2019-08-14 20:34:34",34,21.1557407407407,212,"14M",41.12034,-121.58389,"Mule Deer","56","JK, CB","West Thousand Springs","14M not heard on Omni before deployment ","Fawn","Male","14M","UNKNOWN; SKUNK striped; VULTURE turkey; SQUIRREL Douglas; FOX gray; BEAR black; DEER Mule; PUMA",8,0,FALSE,TRUE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,7,0,2,0,0,0,0,7,223.193,0,31.8847142857143,0,34.8093610336563,0,3.71988333333333,5.1529,12.7597
